Bug ID,Category,Toolchain,Target,LLM Mode,Human Baseline (s),AI MTTR (s),Success (Pass@k),k Bound,Repair Iterations,Functional Pass Rate,Runtime Validation Reason,Expected UART Regex,Crash Patterns,Golden Patch,Retrieval Expected Sources,Total Tokens,Token Efficiency,Total Tool Invocations,Tool Errors,Tool Invocation Error Rate,Agentic Interaction Overhead Ratio,Agent Steps,Final Node,Final Stage
BUG_CONFIG_002,Linker and Configuration Errors,Yocto BitBake,Cortex-A55,PROPOSED_MAS,420,137.26,0,5,0,0,Build did not pass; runtime validation skipped.,U-Boot.*i\.MX93|Starting kernel|Mock Build successful,"Kernel panic, No provider, Fetcher failure, do_fetch failed, ERROR:",Restore target_workspace/mpu_linux_bsp/recipes-bsp/u-boot/u-boot-imx_2023.04.bb from the renamed .bak file.,"Yocto_04_Dev_Tasks.pdf, u-boot-imx_2023.04.bb",25946,,8,4,0.5,0.0,13,Supervisor,Build
BUG_DTS_003,Device Tree and BSP Integration Errors,Yocto DTC,Cortex-A55,PROPOSED_MAS,240,60.71,0,5,0,0,Build did not pass; runtime validation skipped.,Linux version|i2c.*initialized|DTC.*passed,"Kernel panic, syntax error, FATAL, ERROR:, HardFault",Remove the appended malformed &lpi2c2 block from imx93-11x11-evk.dts.,"imx93-11x11-evk.dts, IMX93_EVK_02_I2C_Interface.pdf, Yocto_04_Dev_Tasks.pdf",8765,,6,3,0.5,0.0,3,Supervisor,Build
